profile_id,archetype,narrative_score,score_range,grade_year,intended_major,ec_1,ec_2,ec_3,ec_4,ec_5,spike,awards,leadership,schools_admitted,schools_rejected,narrative_tags,illustrative
011,Researcher,60,low,2024,Biology,Knows 6 languages (learning a 7th),ISEF finalist,Student government,NHS,Racial advocacy and IB committee,ISEF finalist with extraordinary multilingual ability and racial advocacy,"ISEF Awards (~5) | Community Awards",Student Gov Member | NHS,"Stony Brook, St. Johns, Loyola Chicago","","isef-research, multilingual, advocacy",false
012,Leader,86,elite,2024,Biology,Model Congress president,Research assistant,Executive board of women's health organization,Principal cellist and pianist,Varsity swimmer with family responsibilities spike,Girls State governor with best delegate at Harvard and full ride to Northwestern,"Best Delegate at Harvard Debate Conference | Best Delegate at Regional MUN | State and Regional Orchestra Awards | Girls State Governor",Model Congress President | Women's Health Org Exec Board,"Northwestern (full ride), Swarthmore, Barnard, Rowan-Cooper 7-year BSMD","","leader-researcher hybrid, performing-arts depth, pre-med",false
013,Performer,74,mid,2024,Biology,Equestrian at national and state level,Instructor and counselor at equestrian facility,Publicity coordinator at nonprofit (850+ volunteer hours),DEI club president,Honor Council elected member,Nationally competitive equestrian with 850+ volunteer hours and elected school leadership,"Leadership Award | DEI Award | Book Award (straight As) | National Scripps Spelling Bee Semifinalist x2 | Equestrian Champion | 2nd Runner Up Local Miss Title",DEI Club President | Honor Council | Volunteer Coord.,"UVA, Wake Forest, William & Mary, Washington and Lee, Virginia Tech, Clemson, University of Richmond, JMU","","performing-athlete, community-service, elected-leader",false
014,Performer,66,mid,2024,Biology,Torah reading and Hebrew school volunteer (4 years),School musicals (2 years),Treasurer of performing arts club (3 years),Secretary of literary arts magazine (3 years),TikTok account educating on eating disorders,Performer and advocate using social media for health education,"Xerox Award for Information and Technology | Russell Sage Community Award | AP Scholar with Distinction | Multiple Honors Societies",Performing Arts Club Treasurer | Literary Magazine Secretary,"Cornell Transfer, Wesleyan, Vassar, U Rochester, Union, SUNY Binghamton, SUNY Stony Brook","","performer-advocate, health-content-creator, arts-depth",false
015,Leader,92,elite,2024,Economics,Founding director of two student-led nonprofits,Model UN president and international-level debater,School student council,Youth Ambassador at United Nations,Convalescent plasma and COVID vaccination officer,Founded two nonprofits with UN-level international reach (duplicate profile — same as 003 different major),Rollins Alfond Scholar $280k | India National Economics Olympiad Finalist | IGCSE School Topper | National Community Service Award,Nonprofit Founding Director x2 | MUN President | Student Council,"Stanford, MIT, Harvard, Princeton, Yale, Columbia, Caltech, Duke, Cornell, Brown, Georgetown, Rice, Vanderbilt, NYU, UVA, Oxford, UC Berkeley, UCLA","","international-impact, nonprofit-founder, multi-domain-leader",false
016,Builder,88,elite,2024,Business,Captain of Economics and Entrepreneurship competition teams,Data analytics researcher,Founded after-school CS tutoring organization,President of cancer research fundraising org,Leadership in the Business World participant,4x AIME qualifier and DECA International Finalist running 4 competition teams simultaneously,"DECA International Finalist Top 10/8000+ | 4x AIME Qualifier | National Economic Challenge Top 25/10000+ | National Personal Finance Challenge Top 24/20000+ | Coca-Cola Scholars Semifinalist",Econ Team Captain | Entrepreneur Team Captain | Math Modeling Captain | CS Org Founder | Cancer Research Org President,"UPenn Wharton, Cornell Dyson, CMU Tepper, Dartmouth, UCLA, UC Berkeley, NYU Stern, USC Marshall (Presidential Scholarship), UVA Echols Scholar, UMich Ross, UIUC CS, Georgia Tech CS","","multi-competition-captain, business-depth, research-adjacent",false
017,Builder,82,elite,2024,Finance,State president of business CTSO,Chairman of school annual philanthropy week,Founded pressure-washing business SplashBros,Federal Reserve student board of directors,District student ambassador,"State-winning entrepreneur with real business revenue, Federal Reserve board, and CTSO leadership","National Merit Scholar | AP Scholar with Distinction | Business CTSO 1st in State multiple times",CTSO State President | Philanthropy Chair | Business Founder,"UPenn Wharton","","real-revenue-business, competition-winner, civic-leadership",false
018,Builder,79,high,2024,Business,Founded volunteering platform partnered with 20 NPOs and 4000 users,Led fundraising events raising $31700 (3x of predecessor),VP of business club (generated $1000+ revenue),Research intern at agriculture drone tech company (first student intern),Research intern at nonprofit food distribution org,"4000-user nonprofit platform founder with $31k fundraising and two first-ever student internships","World Food Prize Borlaug Scholar (2x state, 1x international) | National Merit Commended | National History Day National Finalist | AP Scholar with Distinction | Presidential Foundation Award (10 students statewide, $1500 cash)",Volunteering Platform Founder | Business Club VP | FTC Design Lead,"Cornell ED, Penn State, Indiana, Iowa","","founder-with-traction, research-intern, fundraising-impact",false
019,Leader,68,mid,2024,Business Administration,Student council treasurer then president,Varsity golf captain,Varsity softball,Civil air patrol,Two part-time jobs,"Elected student council president with multi-sport athletics and two jobs — real responsibility and work ethic story","NHS | HOBY MD Leadership Conference | Published Short Story | Distinguished Honor Roll | President's List at Community College",Student Council President | Golf Captain,"UMD, UMich Ross, Penn State, UD","","elected-leader, multi-sport, work-ethic",false
020,Builder,91,elite,2024,Mathematics,Small business founder,App development projects,Self-led research initiatives,Math club president,Tutor and TA job,No awards listed but accepted to Stanford — extraordinarily strong hidden profile with multiple businesses and apps,"No awards listed",Math Club President | Business Founder | TA,"Stanford, Columbia, UPenn Wharton, Vanderbilt, UC Berkeley, CMU, WashU, UCLA, UNC, UVA, Duke","","serial-builder, math-depth, no-awards-still-elite",false
021,Builder,70,mid,2024,Economics,Started business selling Minecraft accounts,Created a Minecraft hacked client,Published book titled How to Take Over the World,Founded 501c3 to raise awareness about tax evasion,Stock portfolio with 50%+ annual returns,Unconventional self-taught builder with real revenue and actual published work,"AP Capstone Diploma | Academic Block D Award | AP Scholar",501c3 Founder | Blog Author | Published Author,"UCLA Econ, UCSD, UC Davis, UCSC","","unconventional-builder, self-taught, real-revenue",false
022,Performer,80,high,2024,Business,Lead actor in school theater productions,Published comic book and manga,Published short film screenplay,Lead editor and writer for #1 city student newspaper,Lead singer in best school choir and director of visual media for community basketball team,"Multi-medium creative with published work across comics, film, journalism, and performance","Graduation Marshal (Top 30 of class) | Most Outstanding Lead Role | Winnie Hiller Acting Scholarship | Honorarium from Blue Marble Review Literary Magazine | Minnesota State Arts Board Grant",Visual Media Director | Newspaper Lead Editor | Choir Lead Singer,"USC, UMiami, UMich, UVA, UNC, NC State, BC, BU","","multi-medium-creator, published-work, performer",false
023,Leader,93,elite,2024,Data Science,City Youth Council (1 of 12 appointed by mayor for 40k students),Co-president of Black student empowerment org (raised $5000 for POC scholarships),Student body president overseeing $15000 food drive,Research at University of Pittsburgh Bioinformatics Center (presented at conferences),Founder of community maker space Code Club (earned $4000+ in grants),"Mayor-appointed youth council member, published researcher, nonprofit founder, and multilingual — one of the strongest civic profiles in this dataset","Horatio Alger National Scholar (106/40000, $25000) | NCWIT Aspirations in Computing National Winner | ACT-SO 1st Regional 2nd National in CS Research | Ham4Progress Award $3500 | Chinese Bridge Competition 1st Midwest 1st International",Youth Council Member | Black Empowerment Co-President | Student Body President | Code Club Founder,"Yale","","civic-powerhouse, research-published, multilingual-founder",false
024,Researcher,82,elite,2024,Neuroscience,Founded nonprofit and neuroscience club,Published research study,Top 5 at International Medical Competition,HOSA regional conference 1st place in Behavioral Health,ESL tutor and mental health essay writer,"Published researcher with international competition wins and two founded organizations in neuroscience","Top 5 International Medical Competition | Published Research Study | Neuroscience Award in Design and Outreach | Semifinalist International Science Poster Competition | 1st HOSA Regional Behavioral Health | French Honors Society",Nonprofit Founder | Neuroscience Club Founder,"Princeton, Michigan, NYU, American University","","neuroscience-spike, published, international-competition",false
025,Leader,58,low,2024,Cognitive Science,Cornell summer program participant (optimized CVS patient wait times),Founded school HOSA chapter,Junior Breakthrough Challenge lead researcher (gene inheritance and hereditary trauma),Student government representative,Primary caretaker for autistic sibling and 3 other family members,"Low-income first-gen leader with caregiving responsibilities and genuine healthcare research — compelling human story","Cornell University Summer Program Full Ride Scholarship | AB Honor Roll | NHS | Top 5% of Class",HOSA Chapter Founder | Student Gov Rep | School Social Media Coordinator,"Nova Southeastern, Florida State","","caregiver-story, first-gen, healthcare-passion",false
026,Explorer,78,high,2024,Astrophysics,Science Olympiad president (1st place regional and state),Research on solar flare prediction with university professor,Spotify-verified artist (self-produced albums and EP),Animation projects showcased to 200+ people,Secretary of SGA and peer advisor,Spotify artist and state Science Olympiad champion — rare STEM-meets-art explorer,"AATG National German Exam Gold | National Merit Semifinalist | Science Olympiad Awards | Alabama All State Honor Band | AP Scholar",Science Olympiad President | SGA Secretary | Church Worship Band Lead,"Rice, Georgia Tech, University of Alabama, UAH","","stem-meets-art, published-music, state-champion",false
027,Builder,81,high,2024,Mechanical Engineering,Wrote math workbooks with 550+ sales,Summer Science Program astrophysics researcher,Science Bowl president,STEAM Club president,Sunday school teacher and church worship pianist,"Published math workbook author with 550+ sales and SSP astrophysics research — tangible builder output","4x AIME Qualifier | 1st and 3rd Place Local Math Competitions | School Math Dept Award | Scholastic Art and Writing Silver Key x3 | PVSA Gold Award",Science Bowl President | STEAM Club President | Math Tutor,"UC Berkeley, Rice, UCLA, UCSD, UCSB, Purdue","","published-author, math-depth, multi-stem",false
028,Performer,89,elite,2024,Political Science,Violin major at highly selective conservatory program,Ivy League college music ensemble member,Internship at UN-affiliated nonprofit,Business operations intern at healthcare startup,Competitive Tetris player and local concert programmer,"YoungArts classical music winner with two international competition grand prizes and Juilliard acceptance — elite performing artist","National YoungArts Foundation Classical Music Winner | Jack Kent Cooke Foundation Young Artist Award $10000 | International Music Competition #1 Grand Prize and 1st Place | International Music Competition #2 1st Place | International Music Competition #3 2nd Prize",Conservatory Violin Major | Concert Programmer,"Columbia, Juilliard","","elite-performer, international-winner, nonprofit-adjacent",false
029,Researcher,74,mid,2024,Pharmaceutical Sciences,UVA Discover Medicine internship,UVA Global Health Case Competition participant,Student-run Shakespeare company,Club swim and varsity swim team,Student-Athlete Advisory Committee member,"Pre-med researcher with UVA dual affiliation and national Latin honors","National Latin Exam Gold Medal | National Merit Semifinalist | Latin Student of the Year | AP Scholar with Distinction | National Math Honors Society",SAAC Member | Shakespeare Company Member,"Northeastern","","pre-med-researcher, latin-scholar, athlete",false
030,Performer,73,mid,2024,Chemical Engineering,Marching Band field commander (3 years),All-State Band and Regional Orchestra member,Science fair researcher (7 years),Promoted to program manager at public health internship,Teaches music lessons through nonprofit,"7-year science fair commitment with All-State Band and public health promotion — unusually deep dual commitment","All-State Band | Regional Orchestra | Published Digital Art | National Merit Recognition",Field Commander | Science Club Officer x3 | Nonprofit Music Teacher,"Carnegie Mellon, Lehigh, Case Western, Miami University, Ohio University, University of Dayton","","performer-scientist, long-term-commitment, nonprofit-teacher",false
031,Researcher,83,elite,2024,Computer Science,Research intern at T20 university (mental health and NLP),Research intern at T20 university (computational drug discovery),Founded org teaching middle school girls CS,Co-founded org for sex-ed policymaking and donated 700+ sanitary items to shelters,Press director at international girls in STEAM nonprofit,"Dual T20 research internships with Regeneron STS Scholar — strongest pure research profile in dataset","Regeneron STS Scholar | 4th Place State Science Olympiad Anatomy and Physiology | Congressional App Challenge 1st Place | Scholastic National Art and Writing 2 Silver Keys and 2 Honorable Mentions",CS Org Founder | Sex-Ed Policy Co-Founder | STEAM Press Director,"UC Berkeley, UT Austin CS, NYU Engineering, UC Davis, UC Riverside, UCSB, UCSC, ASU (half-tuition)","","dual-research-intern, regeneron-scholar, founder",false
